,accuracy,epoc,time_per_iteration(s),learning_rate
0,0.9738219976425171,0,0.0003734030232587618,0.5
1,0.9764397740364075,1,0.0003523185823184241,0.5
2,0.9764397740364075,2,0.0003708124576854872,0.25
3,0.9799301624298096,3,0.0003823426797543937,0.25
4,0.9790576100349426,4,0.00039869099595367803,0.25
5,0.9799301624298096,5,0.000385874436995954,0.125
6,0.9799301624298096,6,0.0003865014820198738,0.125
7,0.9799301624298096,7,0.0003923044570869592,0.125
8,0.9808027744293213,8,0.0004477405215225087,0.0625
9,0.9808027744293213,9,0.00039134516557889876,0.0625
10,0.9781849980354309,10,0.0004105553369039432,0.0625
11,0.9799301624298096,11,0.00038950813586383174,0.03125
12,0.9799301624298096,12,0.0003968622880040247,0.03125
13,0.9808027744293213,13,0.00038765300630899,0.03125
14,0.9808027744293213,14,0.000481706431190797,0.015625
15,0.9808027744293213,15,0.00038645758470731673,0.015625
16,0.9799301624298096,16,0.00039746207924621474,0.015625
17,0.9808027744293213,17,0.00045583156599008186,0.0078125
18,0.9808027744293213,18,0.0003702343030333727,0.0078125
19,0.9808027744293213,19,0.0003735671700815464,0.0078125
20,0.9808027744293213,20,0.0003709564242271437,0.00390625
21,0.9808027744293213,21,0.00037375045696478237,0.00390625
22,0.9808027744293213,22,0.00038264205526515035,0.00390625
23,0.9808027744293213,23,0.00037225461963167575,0.001953125
24,0.9808027744293213,24,0.0003749525359787866,0.001953125
25,0.9808027744293213,25,0.00036793499924957647,0.001953125
26,0.9808027744293213,26,0.0003704369380211955,0.0009765625
27,0.9808027744293213,27,0.00038444912662472815,0.0009765625
28,0.9808027744293213,28,0.000371255591693765,0.0009765625
29,0.9808027744293213,29,0.0003848791538524794,0.00048828125
30,0.9808027744293213,30,0.00037282590882732397,0.00048828125
31,0.9808027744293213,31,0.0003787940709378707,0.00048828125
32,0.9808027744293213,32,0.00037734649984416327,0.000244140625
33,0.9808027744293213,33,0.00044302520119498954,0.000244140625
34,0.9808027744293213,34,0.0005480689736144913,0.000244140625
35,0.9808027744293213,35,0.0003750854761812699,0.0001220703125
36,0.9808027744293213,36,0.0003924708923952326,0.0001220703125
37,0.9808027744293213,37,0.00038300342792823883,0.0001220703125
38,0.9808027744293213,38,0.0004784813310047303,6.103515625e-05
39,0.9808027744293213,39,0.0003943122910371418,6.103515625e-05
40,0.9808027744293213,40,0.0005259567946455658,6.103515625e-05
41,0.9808027744293213,41,0.0004139710055179829,3.0517578125e-05
42,0.9808027744293213,42,0.00038723795825898336,3.0517578125e-05
43,0.9808027744293213,43,0.0003730630791416135,3.0517578125e-05
44,0.9808027744293213,44,0.0005401861813263951,1.52587890625e-05
45,0.9808027744293213,45,0.0003926672860589951,1.52587890625e-05
46,0.9808027744293213,46,0.0003745961563749463,1.52587890625e-05
47,0.9808027744293213,47,0.00038709856868830445,7.62939453125e-06
48,0.9808027744293213,48,0.0003735960882163589,7.62939453125e-06
49,0.9808027744293213,49,0.00038996874557947823,7.62939453125e-06
