,accuracy,epoc,time_per_iteration(s),learning_rate
0,0.9746946096420288,0,0.00040136998028447284,0.5
1,0.9659686088562012,1,0.00039036174095113865,0.5
2,0.9650959968566895,2,0.00039173545637679973,0.25
3,0.9642233848571777,3,0.0003867145192144637,0.25
4,0.963350772857666,4,0.00039028143591489676,0.25
5,0.9642233848571777,5,0.00038844648664118316,0.125
6,0.9650959968566895,6,0.0003904942650653513,0.125
7,0.9642233848571777,7,0.00038878996750863225,0.125
8,0.9650959968566895,8,0.00039494141650241497,0.0625
9,0.9659686088562012,9,0.0003891513401717208,0.0625
10,0.9650959968566895,10,0.0004191864639468634,0.0625
11,0.9659686088562012,11,0.00037734712397656934,0.03125
12,0.9659686088562012,12,0.00040820090142428147,0.03125
13,0.9659686088562012,13,0.0003869140335402564,0.03125
14,0.9659686088562012,14,0.00039128462473551434,0.015625
15,0.9659686088562012,15,0.00038660779257303343,0.015625
16,0.9659686088562012,16,0.00038705675181710075,0.015625
17,0.9659686088562012,17,0.00039375057187171925,0.0078125
18,0.9659686088562012,18,0.0003782229897863578,0.0078125
19,0.9659686088562012,19,0.0003760822156336919,0.0078125
20,0.9659686088562012,20,0.0003868043942809313,0.00390625
21,0.9659686088562012,21,0.0004169710019496099,0.00390625
22,0.9659686088562012,22,0.000387943435921927,0.00390625
23,0.9659686088562012,23,0.0003776889404909357,0.001953125
24,0.9659686088562012,24,0.0003946320548731619,0.001953125
25,0.9659686088562012,25,0.0003889289409910405,0.001953125
26,0.9659686088562012,26,0.0003767616877797178,0.0009765625
27,0.9659686088562012,27,0.00038816749945569,0.0009765625
28,0.9659686088562012,28,0.00039949862328707443,0.0009765625
29,0.9659686088562012,29,0.0003897885793582723,0.00048828125
30,0.9659686088562012,30,0.0004486977325892157,0.00048828125
31,0.9659686088562012,31,0.00040326963128427766,0.00048828125
32,0.9659686088562012,32,0.0003874553643804154,0.000244140625
33,0.9659686088562012,33,0.00040848592188969955,0.000244140625
34,0.9659686088562012,34,0.0003933604891179536,0.000244140625
35,0.9659686088562012,35,0.00038523574150045505,0.0001220703125
36,0.9659686088562012,36,0.00047105165884340827,0.0001220703125
37,0.9659686088562012,37,0.0003758899828526362,0.0001220703125
38,0.9659686088562012,38,0.00039033927218452174,6.103515625e-05
39,0.9659686088562012,39,0.0003804734031983487,6.103515625e-05
40,0.9659686088562012,40,0.00038541694794233766,6.103515625e-05
41,0.9659686088562012,41,0.0003779614783082333,3.0517578125e-05
42,0.9659686088562012,42,0.0003843465608660047,3.0517578125e-05
43,0.9659686088562012,43,0.0003837644533753187,3.0517578125e-05
44,0.9659686088562012,44,0.00039040272564580097,1.52587890625e-05
45,0.9659686088562012,45,0.0003902096606882039,1.52587890625e-05
46,0.9659686088562012,46,0.000397060970153276,1.52587890625e-05
47,0.9659686088562012,47,0.0003887535597849475,7.62939453125e-06
48,0.9659686088562012,48,0.00039255306982869255,7.62939453125e-06
49,0.9659686088562012,49,0.0003893751956613484,7.62939453125e-06
