,accuracy,epoc,time_per_iteration(s),learning_rate
0,0.87870854139328,0,3.3706894719787915e-05,0.5
1,0.8778359293937683,1,7.088479779361639e-06,0.5
2,0.8778359293937683,2,1.1653800285299411e-05,0.25
3,0.8891797661781311,3,6.933070810261405e-06,0.25
4,0.8979057669639587,4,1.0710320131524904e-05,0.25
5,0.8979057669639587,5,6.337024362507499e-06,0.125
6,0.8795811533927917,6,1.0430500769490347e-05,0.125
7,0.8848167657852173,7,6.1687166570160814e-06,0.125
8,0.8917975425720215,8,1.0480015273701665e-05,0.0625
9,0.8874345421791077,9,6.247565384310577e-06,0.0625
10,0.885689377784729,10,1.1090208722658806e-05,0.0625
11,0.8891797661781311,11,6.157274229572289e-06,0.03125
12,0.886561930179596,12,1.117633899469026e-05,0.03125
13,0.8874345421791077,13,6.564416602435953e-06,0.03125
14,0.886561930179596,14,1.0514550600168384e-05,0.015625
15,0.886561930179596,15,6.808868461462424e-06,0.015625
16,0.885689377784729,16,1.1476754726123643e-05,0.015625
17,0.8874345421791077,17,6.173085583858257e-06,0.0078125
18,0.8874345421791077,18,1.1265173840481157e-05,0.0078125
19,0.886561930179596,19,6.442294694990388e-06,0.0078125
20,0.886561930179596,20,1.061087503483158e-05,0.00390625
21,0.886561930179596,21,6.095485121375812e-06,0.00390625
22,0.8900523781776428,22,1.1552482791388015e-05,0.00390625
23,0.8891797661781311,23,6.235914912731443e-06,0.001953125
24,0.8900523781776428,24,1.1236463749804006e-05,0.001953125
25,0.8900523781776428,25,6.9239168683063715e-06,0.001953125
26,0.8900523781776428,26,1.1518155509056636e-05,0.0009765625
27,0.8909249305725098,27,6.159562715061048e-06,0.0009765625
28,0.8909249305725098,28,1.100137387686791e-05,0.0009765625
29,0.8909249305725098,29,6.939104090186314e-06,0.00048828125
30,0.8909249305725098,30,1.095664438776945e-05,0.00048828125
31,0.8909249305725098,31,6.971767019434957e-06,0.00048828125
32,0.8909249305725098,32,1.0605881975583381e-05,0.000244140625
33,0.8909249305725098,33,7.018993038157518e-06,0.000244140625
34,0.8909249305725098,34,1.1121207298824717e-05,0.000244140625
35,0.8909249305725098,35,7.191461626355769e-06,0.0001220703125
36,0.8909249305725098,36,1.0667046951373834e-05,0.0001220703125
37,0.8909249305725098,37,6.780366414920614e-06,0.0001220703125
38,0.8909249305725098,38,1.1165728743787836e-05,6.103515625e-05
39,0.8900523781776428,39,7.039381363421003e-06,6.103515625e-05
40,0.8900523781776428,40,1.12828575919852e-05,6.103515625e-05
41,0.8900523781776428,41,7.048535305376036e-06,3.0517578125e-05
42,0.8900523781776428,42,1.1580984837929824e-05,3.0517578125e-05
43,0.8900523781776428,43,6.120450417616813e-06,3.0517578125e-05
44,0.8900523781776428,44,1.1176963127096286e-05,1.52587890625e-05
45,0.8900523781776428,45,6.196594571151866e-06,1.52587890625e-05
46,0.8900523781776428,46,1.103986204190612e-05,1.52587890625e-05
47,0.8900523781776428,47,6.230921853483244e-06,7.62939453125e-06
48,0.8900523781776428,48,1.1649015270186552e-05,7.62939453125e-06
49,0.8900523781776428,49,6.416081133937336e-06,7.62939453125e-06
