,accuracy,epoc,time_per_iteration(s),learning_rate
0,0.970331609249115,0,0.0005009428160768945,0.5
1,0.9554973840713501,1,0.0006894998733493878,0.5
2,0.9624781608581543,2,0.0006442325901610689,0.25
3,0.9642233848571777,3,0.0004491379539795987,0.25
4,0.9677137732505798,4,0.0004505692976307494,0.25
5,0.9677137732505798,5,0.00045053538643668876,0.125
6,0.9677137732505798,6,0.0004534367699481638,0.125
7,0.9677137732505798,7,0.00045097956066564326,0.125
8,0.9677137732505798,8,0.0004599859993287198,0.0625
9,0.9642233848571777,9,0.00045546457613533913,0.0625
10,0.9659686088562012,10,0.0004531396829228959,0.0625
11,0.9659686088562012,11,0.0004566104832328011,0.03125
12,0.9668411612510681,12,0.0004545762276774302,0.03125
13,0.9677137732505798,13,0.0004532674220219957,0.03125
14,0.9677137732505798,14,0.00045571568540669655,0.015625
15,0.9677137732505798,15,0.00045695562845333293,0.015625
16,0.9677137732505798,16,0.0004570413426370937,0.015625
17,0.9677137732505798,17,0.00045227005843716765,0.0078125
18,0.9677137732505798,18,0.0004538176987599744,0.0078125
19,0.9677137732505798,19,0.00045432844711223823,0.0078125
20,0.9677137732505798,20,0.000452868809458681,0.00390625
21,0.9677137732505798,21,0.0004562441175104644,0.00390625
22,0.9677137732505798,22,0.00045606915239264204,0.00390625
23,0.9677137732505798,23,0.0004522802525997994,0.001953125
24,0.9677137732505798,24,0.0004531272002747754,0.001953125
25,0.9677137732505798,25,0.0004495068162315595,0.001953125
26,0.9677137732505798,26,0.0004561623561652751,0.0009765625
27,0.9677137732505798,27,0.0004514387140723423,0.0009765625
28,0.9677137732505798,28,0.00045090216824729613,0.0009765625
29,0.9677137732505798,29,0.0004510471750096293,0.00048828125
30,0.9677137732505798,30,0.00045637414509505295,0.00048828125
31,0.9677137732505798,31,0.00045263746438018105,0.00048828125
32,0.9677137732505798,32,0.00045537886195157835,0.000244140625
33,0.9677137732505798,33,0.0004529582684368779,0.000244140625
34,0.9677137732505798,34,0.00045681935954468414,0.000244140625
35,0.9677137732505798,35,0.0004616778142373183,0.0001220703125
36,0.9677137732505798,36,0.0004539464780797509,0.0001220703125
37,0.9677137732505798,37,0.00045224301269957323,0.0001220703125
38,0.9677137732505798,38,0.00045633066387076654,6.103515625e-05
39,0.9677137732505798,39,0.0004578785122377086,6.103515625e-05
40,0.9677137732505798,40,0.0004589622141387034,6.103515625e-05
41,0.9677137732505798,41,0.0004498328213916399,3.0517578125e-05
42,0.9677137732505798,42,0.0004579088866814685,3.0517578125e-05
43,0.9677137732505798,43,0.0004537715129619285,3.0517578125e-05
44,0.9677137732505798,44,0.0004582887752726024,1.52587890625e-05
45,0.9677137732505798,45,0.0004530213058098865,1.52587890625e-05
46,0.9677137732505798,46,0.00044901499989561175,1.52587890625e-05
47,0.9677137732505798,47,0.00045158808976151766,7.62939453125e-06
48,0.9677137732505798,48,0.0004537621509758382,7.62939453125e-06
49,0.9677137732505798,49,0.00045714848536679466,7.62939453125e-06
